1,Airplane!,Comedy,1980,88,PG,4
2,Alien,Horror,1979,117,R,4
3,Amadeus,Drama,1980,180,R,4
4,Apocalypse Now,Drama,1979,153,R,4
5,Avengers,Action,2012,143,PG-13,4
6,Avengers: Age of Ultron,Action,2015,143,PG-13,3
7,Back to the Future,Sci-fi,1985,116,PG,5
8,Bambi,Kids,1942,70,G,3
9,Batman,Action,1989,126,PG-13,3
10,A Beautiful Mind,Drama,2001,140,PG-13,4
11,Beauty and the Beast,Kids,1991,92,G,3
12,Blues Brothers,Comedy,1980,148,R,4
13,Bride of the Monster,Cult,1955,75,NA,2
14,Bulitt,Action,1968,114,PG,5
15,Captain America: Civil War,Action,2016,148,PG-13,4
16,Cars,Kids,2006,117,G,3
17,Casablanca,Romance,1942,102,PG,1
18,Castle in the Sky,Anime,1986,126,PG,4
19,Children of the Corn,Horror,1984,92,R,1
20,Christine,Horror,1983,110,R,3
21,Cinderella,Kids,1950,90,G,2
22,Citizen Kane,Drama,1941,119,PG,5
23,Clerks,Comedy,1994,142,R,4
24,Close Encounters of the Third Kind,Sci-fi,1977,135,PG,1
25,Coneheads,Comedy,1993,88,PG,3
26,Corpse Bride,Drama,2005,78,PG,4
27,Dark Crystal ,Fantasy,1982,93,PG,3
28,Dark Knight,Action,2008,152,PG-13,5
29,Die Hard,Action,1988,132,R,1
30,Dawn of the Dead,Horror,2004,110,R,3
31,Dragon Ball Z: Broly the Legendary Super Saiyan,Anime,1993,72,NA,3
32,Spirted Away,Anime,2001,140,PG,4
33,Human Centipede,Horror,2009,92,R,1
34,Fifty Shades of Grey,Comedy,2015,129,R,1
35,Twilight,Romance,2008,130,PG-13,1
36,Shakespeare in Love,Romance,1998,137,R,4
37,The Lord of The Rings: The Fellowship of the Ring,Fantasy,2001,228,PG-13,5
38,The Room,Romance,2003,99,R,1
39,Fateful Findings,Cult,2013,100,NA,1
40,BloodRayne,Fantasy,2005,95,NA,1
41,The Emoji Movie,Kids,2017,91,PG,1
42,Plan 9 From Outer Space,Cult,1959,80,NA,1
43,Glen or Glenda,Cult,1953,74,NA,1
44,Night of the Ghouls,Cult,1959,69,NA,2
45,Dragon Ball Z: Battle of God,Action,2013,105,PG,3
46,My Neighbor Totoro,Kids,1988,100,G,5
47,Finding Nemo,Kids,2003,100,G,5
48,The Incredibles,Kids,2004,116,PG,5
49,Barbie and the Magic of the Pegasus,Kids,2005,85,NA,3
50,Foodfight!,Kids,2012,90,PG,1
51,Titantic,Romance,1997,194,PG-13,5
52,The Wizard of OZ,Fantasy,1939,102,PG,4
53,The Lion King,Kids,1994,88,G,4
54,Psycho,Horror,1960,109,R,4
55,Gone with the Wind,Romance,1939,238,G,4
56,Scarface,Drama,1983,170,R,5
57,E.T. the Extra-Terrestrial,Kids,1982,119,PG,4
58,Troll 2,Cult,1990,95,PG-13,1
59,Teen Wolf,Comedy,1985,91,PG,3
60,Star Wars: A New Hope,Fantasy,1977,125,PG,4
61,Star Wars: The Empire Strikes Back,Fantasy,1980,127,PG,5
62,Star Wars: Return of the Jedi,Fantasy,1983,136,PG,4
63,Terminator,Action,1984,107,R,4
64,Terminator 2: Judgement Day,Action,1991,137,R,4
65,Jurassic Park,Sci-fi,1993,127,PG-13,5
66,Harry Potter and the Sorcerer's Stone,Fantasy,2001,152,PG,3
67,Dirty Dancing,Romance,1987,100,PG-13,3
68,Grease,Romance,1978,110,PG,3
69,La La Land,Romance,2016,128,PG-13,5
70,Deadpool,Comedy,2016,108,R,4
71,Tommy Boy,Comedy,1995,97,PG-13,3
72,Scott Pilgrim vs the World,Comedy,2010,112,PG-13,3
73,Your Name,Anime,2016,106,PG,4
74,American Beauty,Romance,1999,122,R,4
75,Akira,Anime,1988,125,R,4
76,Wolf Children,Anime,2012,117,PG,5
77,The Disappearence of Haruhi Suzumiya,Anime,2010,164,NA,5
78,The Big Lebowski,Comedy,1998,119,R,4
79,Shaun of the Dead,Comedy,2004,100,R,3
80,Napolean Dynamite,Comedy,2004,96,PG,3
81,Blade Runner,Sci-fi,1982,117,R,4
82,Avatar,Sci-fi,2009,162,PG-13,3
83,Ex-Machina,Sci-fi,2015,110,R,3
84,The Fifth Element,Sci-fi,1997,127,PG-13,4
85,Gravity,Sci-fi,2013,91,PG-13,4
86,Zaat,Horror,1971,100,NA,1
87,Birdemic: Shock and Terror,Cult,2010,105,NA,1
88,Not Cool,Comedy,2014,93,NA,1
89,Master of Disguise,Comedy,2002,81,PG,3
90,The Star Wars Holiday Special,Fantasy,1978,120,NA,2
91,The Nightmare Before Christmas,Kids,1993,76,PG,5
92,The Last Airbender,Fantasy,2010,103,PG,1
93,Baby Geniuses,Kids,1999,97,PG,1
